,Bohemian Brew,"Shop 1, Mahesh Apartment, TPS III Road 5, Off SV Road,Khar, Mumbai",,,Khar, Mumbai,1200,4.3,yes,yes,no,yes,yes,no
,Candy and Green,"4th & 5th Floor, Hub Town Sky Bay, Bhulabhai Desai Road,Breach Candy, Mumbai",,,Breach Candy, Mumbai,1600,4,no,yes,yes,no,yes,yes
,Flamboyante,"7, World Trade Centre,Cuffe Parade, Mumbai",,,Cuffe Parade, Mumbai,2000,3.8,yes,yes,yes,yes,no,no
,Out Of The Blue,"Le Sutra Hotel, 14 Union Park, Off Carter Road,KharWest, Khar, Mumbai",,,Khar, Mumbai,1800,3.8,yes,yes,yes,yes,yes,no
,MT-64,"Opposite Vinay Industrial Estate, Link Road, Near Cloud Nine Hospital,Malad West, Mumbai",,,Malad West, Mumbai,1600,3.6,no,yes,yes,no,yes,yes
,Mojo's Bistro,"701, Level 7,  Cyber One, Near CIDCO Exhibition Center,Vashi, Navi Mumbai",,,Vashi, Mumbai,1900,3.9,no,yes,yes,yes,yes,yes
,Gallops,"MahalaxmiRace Course, Mahalaxmi, Mumbai",,,Mahalaxmi, Mumbai,2500,4.4,no,no,yes,no,no,no
,Ten One,"883/1JuhuTara Road, Near Melting Pot, Juhu, Mumbai",,,Juhu, Mumbai,800,3.8,no,no,yes,yes,no,no
,Love & Cheesecake,"Eden 2, Central Ave, Hiranandani Gardens,Powai, Mumbai",,,Powai, Mumbai,400,4.4,yes,no,no,no,no,no
,Bora Bora,"Oberoi Chambers 1, Opposite Tanishq Showroom, Off New Link Road,Veera Desai Area, Mumbai, Mumbai",,,Veera Desai Area, Mumbai,1950,3.6,no,yes,yes,no,no,no
,Harry's Bar + Cafe,"1st Floor, 103, Ventura Park, IT Building, Hiranandani Gardens, Opposite D Mart, Central Avenue Road,Powai, Mumbai",,,Powai, Mumbai,1500,3.6,yes,yes,yes,no,yes,no
,Hungry Jd's,"12, New Link Road, Hissa no.10, Near Shubharambh Ground, Eksar Village,Borivali West, Mumbai",,,Borivali West, Mumbai,1000,3.9,no,no,no,no,no,no
,Bake House Cafe,"KalaGhoda Building, 43 Ropewalk Lane, Behind Rhythm House, Kalaghoda,Fort, Mumbai",,,Fort, Mumbai,800,4.5,no,no,no,yes,yes,no
,Cafe Madras,"38 B, Circle House, King's Circle Near Maheshwari Udyan,Matunga East, Mumbai",,,Matunga East, Mumbai,250,4.4,no,no,no,no,no,no
,Drop,"Linking Road, Bandra WestG1/B, Krystal Building, Below Hakkassan, Waterfield Road,",,,"Linking Road, Bandra West", Mumbai,1200,3,no,yes,yes,yes,yes,no
,Status Veg Restaurant,"208, Regent Chambers,Nariman Point, Mumbai",,,Nariman Point, Mumbai,800,3.9,yes,no,no,no,no,no
,Kitchen Garden by Suzette,"Pali Hill, Bandra West8/9, Gasper Enclave, St. John Street, Pali Naka, Near Suzette, Opposite Gold’s Gym,",,,"Pali Hill, Bandra West", Mumbai,1000,3.7,no,no,no,no,no,no
,Wok Express,"Pali Hill, Bandra WestShop 1-2, Dheeraj Swapna Building, Pali Naka,",,,"Pali Hill, Bandra West", Mumbai,1000,3.3,yes,no,no,no,yes,no
,India Bistro,"Upvan, Thane WestGround/First floor, Vihang Garden, Near Vihang Club, Pokharan Road 1, Vartak Nagar,",,,"Upvan, Thane West", Mumbai,1200,4.9,yes,yes,yes,no,yes,no
,La Patio,"8th Floor, Morya Landmark 2, Opposite Infiniti Mall, Off New Link Road,Veera Desai Area, Veera Desai Area, Mumbai",,,Veera Desai Area, Mumbai,2000,3.6,no,yes,yes,yes,no,no
,Pishu's,"Andheri Lokhandwala, Andheri West8, New Shantivan Building, Oberoi Complex Road, Sab TV Lane,",,,"Andheri Lokhandwala, Andheri West", Mumbai,550,3.9,yes,no,no,yes,no,no
,1441 Pizzeria,"Ground Floor, 5,  58/64,  Hari Chambers, S B Road,Fort, Mumbai",,,Fort, Mumbai,1000,4.4,yes,no,no,yes,no,no
,Slink & Bardot,"329/A, Thadani House, Opposite Indian Coast Guard,WorliVillage, Worli, Mumbai",,,Worli, Mumbai,3000,4,no,yes,yes,yes,yes,no
,Kaitlyn's Beer Garden,"Hill Road, Bandra West201-202, Khan House,",,,"Hill Road, Bandra West", Mumbai,1650,4.4,yes,yes,yes,yes,yes,no
,Pop Tate's,"Unit 2, Ground Floor, Trade Garden Building, Kamala Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1600,3.9,yes,no,yes,no,no,no
,Cavalry The Lounge,"2nd Floor, Heera Panna  Shopping Center, Next to Lake Solitaire, Hiranandani Gardens,Powai, Mumbai",,,Powai, Mumbai,1500,4,no,yes,yes,yes,yes,no
,Ray's Cafe & Pizzeria,"133, Gazebo House, Hill Road, (Behind Mamagoto), Bandra West, Mumbai",,,Powai, Mumbai,1400,4,yes,no,no,yes,yes,no
,Mezzo Veg Lounge,"Opp. Reliance Mall, Shimpoli,   400092,Borivali West, Mumbai",,,Borivali West, Mumbai,1000,3.9,yes,no,no,no,no,no
,Tryst,"Phoenix Mill Compound, High Street Phoenix, Senapati Bapat Marg,Lower Parel, Mumbai",,,Lower Parel, Mumbai,2500,3.6,no,no,yes,no,no,no
,Basanti and Co.,"7 Bungalows, Andheri West7/11, Meera Apartments, Juhu Versova Link Road,",,,"7 Bungalows, Andheri West", Mumbai,1000,3.9,no,no,yes,no,no,no
,Drinkery 51,"1st Floor, Vibgyor Towers,Bandra Kurla Complex, Mumbai",,,Bandra Kurla Complex, Mumbai,1500,4,no,yes,yes,no,yes,no
,IMBISS,"Hill Road, Bandra West14, Ben O Lil Haven, Waroda Road, Off Hill Road,",,,"Hill Road, Bandra West", Mumbai,1000,4.4,yes,no,no,no,no,no
,Shalimar,"Vazir Building, Shalimar Corner, Bhendi Bazaar, Sandhurst Road,Mohammad Ali Road, Mumbai",,,Mohammad Ali Road, Mumbai,700,3.8,yes,no,no,no,yes,no
,The American Joint,"The Ahcl Homes Tower, Chikuwadi New Link Road,Borivali West, Mumbai",,,Borivali West, Mumbai,1000,3.7,no,no,no,no,no,no
,Slurp N Burp,"Shop 9, Ground Floor, Natraj Coop Housing Society, Near croma Sodawala Lane,  Chamunda Circle,Borivali West, Mumbai",,,Borivali West, Mumbai,450,3.7,yes,no,no,no,no,no
,Le 15 Patisserie,"Pali Hill, Bandra WestGround Floor, Siffin Apartments, Dr. Ambedkar Road,",,,"Pali Hill, Bandra West", Mumbai,500,4.1,no,no,no,no,no,no
,Le 15 Patisserie,"1st Floor, Palladium Mall, Senapati Bapat Marg,Lower Parel, Mumbai",,,Lower Parel, Mumbai,500,4.1,no,no,no,no,no,no
,Le 15 Patisserie,"Oshiwara, Andheri WestShop 11, Ground Floor, Windermere 1-B CHS, Near Mega Mall,",,,"Oshiwara, Andheri West", Mumbai,500,4.1,no,no,no,yes,no,no
,Zaffran,"4th Floor, Infiniti Mall, Link Road,Malad West, Mumbai",,,Malad West, Mumbai,1400,3.8,yes,no,yes,no,no,no
,Zaffran,"1st Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",,,Ghatkopar West, Mumbai,1400,3.5,yes,no,yes,yes,no,no
,Zaffran,"Hill Road, Bandra West95 Fernandez Villa, Opposite St Andrew's Church,",,,"Hill Road, Bandra West", Mumbai,1400,3.7,yes,yes,yes,no,yes,no
,Zaffran,"T 9, 3rd Floor, Growell's 101 Mall, Akruli Road, Off Western Express Highway,Kandivali East, Mumbai",,,Kandivali East, Mumbai,1400,3.5,yes,no,yes,no,no,no
,Zaffran,"1st Floor, Inorbit Mall,Vashi, Navi Mumbai",,,Vashi, Mumbai,1400,3.6,yes,no,yes,no,no,no
,Zaffran,"Andheri Lokhandwala, Andheri WestFloor 2, Infiniti Mall,",,,"Andheri Lokhandwala, Andheri West", Mumbai,1400,3.7,yes,yes,yes,no,no,no
,Kebab Korner By Zaffran,"Hill Road, Bandra WestFernandez Villa, Opposite St Andrew's Church,",,,"Hill Road, Bandra West", Mumbai,400,3.1,yes,no,yes,no,yes,no
,The Bombay Dhaba,"Mumbai-Nashik Highway, Dive Anjur, Bhiwandi,Kalwa, Mumbai",,,Kalwa, Mumbai,850,3.9,no,yes,no,no,yes,yes
,Cafe Mondegar,"5A, Metro House, Shahid Bhagat Singh Road, Near Regal Cinema,Colaba, Mumbai",,,Colaba, Mumbai,1300,4,no,no,no,no,no,no
,Swey,"4th Floor, Atria Mall, Dr. Annie Besant Rd, Opposite Poonam Chambers,Worli, Mumbai",,,Worli, Mumbai,1500,3.5,no,yes,yes,yes,yes,no
,Su Casa,"Reclamation, Bandra WestThe Bombay Art Society, Ground Floor, Opp Hotel Rang Sharda,Near Lilavati Hospital,",,,"Reclamation, Bandra West", Mumbai,1700,3.7,no,yes,yes,yes,yes,no
,Sammy Sosa,"Oshiwara, Andheri WestShop 18, Meera CHS, Near Mega Mall, Oshiwara Link Road,",,,"Oshiwara, Andheri West", Mumbai,1700,4.6,yes,no,yes,yes,no,no
,Shamiana - The Taj Mahal Palace,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",,,Colaba, Mumbai,2500,4.1,no,no,yes,yes,no,no
,Bombay Barbeque,"Khopat, Thane WestShop 3-5, Dev Corpora, Pokhran Road 1, Cadbury Junction,",,,"Khopat, Thane West", Mumbai,1600,3.8,no,no,no,no,no,no
,Pot Pourri,"2nd Floor, Cubic Mall, Vasant Vihar Road,Chembur, Mumbai",,,Chembur, Mumbai,1300,3.8,no,no,yes,no,no,no
,Icekraft,"Oshiwara, Andheri West5, Meera CHS, Opposite Windsor Grande Residences,",,,"Oshiwara, Andheri West", Mumbai,300,4.2,no,no,no,yes,no,no
,Vedge,"Ground Floor, Fun Republic Mall, New Link Road,Veera Desai Area, Mumbai",,,Veera Desai Area, Mumbai,1000,4.3,yes,no,no,no,no,no
,10th Street Cafe,"Shop 8, Sukhmani Himalaya CHS, 10th Road, Gurunanak Marg, JVPD Scheme,Juhu, Mumbai",,,Juhu, Mumbai,1300,3.8,no,no,no,no,yes,no
,Mia,"Versova, Andheri West10A & B, Arram Nagar 2, J P Road,",,,"Versova, Andheri West", Mumbai,1500,4,no,yes,no,yes,yes,yes
,Burn - Kitchen & Malt Room,"Building No 19, Pinnacle Corporate Park, Next to Trade Centre,Bandra Kurla Complex, Mumbai",,,Bandra Kurla Complex, Mumbai,1500,3.9,no,yes,yes,yes,yes,no
,Burn - Kitchen & Malt Room,"Om Satyadeep Apartments, Ground Floor, Gulmohar Cross Road 7, JVPD Scheme,Juhu, Mumbai",,,Juhu, Mumbai,2000,4.7,no,no,yes,no,no,no
,British Brewing Company,"Level 4, Palladium, High Street Phoenix,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1600,4.1,yes,yes,yes,yes,no,no
,The Bar Stock Exchange,"89, Shivani Industrial Estate, Opposite Times Square,Sakinaka, Mumbai",,,Sakinaka, Mumbai,1300,3.5,no,yes,yes,yes,yes,no
,The Rolling Pin,"12, Janta Industrial Estate, Senapat Bapat Road,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1000,4,yes,no,no,yes,yes,no
,PizzaExpress,"Dhanraj Mahal, Apollo Bunder,Colaba, Mumbai",,,Colaba, Mumbai,1500,4.1,yes,no,no,no,yes,no
,Tanatan,"462, A.B. Nair Road, Opposite Novotel,Juhu, Mumbai",,,Juhu, Mumbai,1500,4.5,no,yes,yes,yes,no,no
,Kasino Bar,"8th Floor, Synergy Court, Kanchpada,Malad West, Mumbai",,,Malad West, Mumbai,1200,4,no,yes,yes,no,yes,no
,Yasin's Food Inn,"Andheri Lokhandwala, Andheri WestShop 4 - 5, Shiv Sadan Building, 1st Cross Lane, Lokhandwala Complex,",,,"Andheri Lokhandwala, Andheri West", Mumbai,650,4,yes,no,no,no,no,no
,Gymkhana 91 Bar & Kitchen,"Floor 1, Raghuvanshi Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",,,Lower Parel, Mumbai,1200,4,no,yes,yes,no,yes,no
